protein,diff,p,q
A1BG,-0.005047673160173169,0.69286017704125,0.8665940511303268
AAMDC,0.2988959415584415,0.00036624507647134853,0.002136795126797908
AARSD1,0.49758170995671014,0.00473847714609868,0.021915456800706393
ABCA2,0.06353290043290047,0.7955807254302163,0.9169883519055687
ABHD14B,0.8070247835497837,5.228478027914651e-09,6.213463949367877e-08
ABL1,0.6756837662337661,4.565776579049799e-12,1.321362865402234e-10
ABO,-0.33486147186147175,0.56640564535146,0.7921548810346016
ABRAXAS2,0.2538267316017316,0.037041494594810216,0.13092175175408738
ACAA1,0.21011866883116892,0.05543844930483066,0.18105763946147488
ACADM,-0.1594469696969697,0.5606696010891176,0.7890405604157393
ACADSB,0.4101075757575757,1.1041277291267262e-05,7.852470443400051e-05
ACAN,0.06954507575757585,0.3182486498005115,0.605235409110295
ACE,0.0113679112554112,0.730837371204852,0.8875104428881523
ACE2,0.20809567099567117,0.5158213097199362,0.7634155383855057
ACHE,0.10634642857142862,0.13271901776782574,0.346992566131802
ACOT13,1.852967099567099,4.651361057099796e-10,6.7641434676132854e-09
ACOX1,0.3895076298701299,0.00030122063268493113,0.0017751369139880117
ACP1,0.2698738095238094,0.00294948071788892,0.014368886897315521
ACP5,-0.013785389610389664,0.9188123389307001,0.9737811699399698
ACP6,0.0759681818181818,0.4941162142860759,0.7506765563192306
ACRBP,0.20176780303030312,0.0013836694517350557,0.007248146608282379
ACRV1,-0.09338322510822483,0.43203969644351725,0.700805789514096
ACSL1,-0.14320530303030315,0.09342742580051744,0.2690525769605049
ACTA2,0.03905946969696972,0.4941162142860759,0.7506765563192306
ACTN2,0.24740340909090908,0.09177985399200234,0.2658795968469998
ACTN4,-0.028420725108225187,0.9255574172719444,0.9760133367396961
ACVRL1,0.047491558441558335,0.4420608276938772,0.709189791080792
ACY1,0.1598469696969692,0.4624951165783028,0.7256461586620044
ACY3,-0.2478579004329005,0.29416716358058137,0.5801960992888254
ACYP1,0.8451674783549785,1.3596088185682687e-07,1.2780136150204461e-06
ADA,0.18913906926406931,0.03063718115561671,0.11222115353116247
ADA2,-0.12829989177489182,0.3932939322736131,0.6699290000208457
ADAM12,0.12091677489177488,0.4270788882352503,0.6966247713792616
ADAM15,-0.06693051948051937,0.3956500751794134,0.6728796080225172
ADAM22,-0.04604772727272738,0.56640564535146,0.7921548810346016
ADAM23,0.00217353896103889,0.9424427302245387,0.9813894194678756
ADAM8,-0.04343468614718615,0.23772681541341634,0.511313820054022
ADAM9,-0.020073484848484868,0.7054392605839808,0.8718811664638375
ADAMTS1,0.15670129870129862,0.05024237850163885,0.16688462768214815
ADAMTS13,-0.0354596861471862,0.6252581203826834,0.8258605900942537
ADAMTS15,0.15343149350649354,0.4099775530100317,0.68399793804128
ADAMTS16,0.10214972943722953,0.23604523544834932,0.5091957366904244
ADAMTS4,0.2890290584415585,0.001673185718860512,0.008640851336094128
ADAMTS8,-0.13854247835497824,0.19373608700668854,0.44979394942061207
ADAMTSL2,0.10787721861471865,0.04278040579409032,0.1471142660425012
ADAMTSL4,-0.03233068181818172,0.8751335543272245,0.9537715806482019
ADAMTSL5,-0.037161850649350625,0.5436322184092088,0.7785580472367062
ADCYAP1R1,-0.005057088744588878,0.8351462519765688,0.9320857176508249
ADD1,0.6758977272727269,0.003929506672368788,0.01852644457799952
ADGRB3,-0.1956604437229436,0.04732533574955857,0.15900224873098817
ADGRD1,0.26033268398268417,0.023075818130982143,0.08828614711630996
ADGRE1,-0.3110770562770563,0.22287979638857502,0.4898328156720337
ADGRE2,-0.009956222943723003,0.868443936316295,0.9493125003188221
ADGRE5,-0.022874729437229235,0.8219045209034685,0.9257923974753017
ADGRF5,0.053834307359307304,0.3980187623232748,0.6728796080225172
ADGRG1,0.4329346861471862,0.0029905509023927697,0.014544725936263004
ADGRG2,-0.07181563852813852,0.1038169889388071,0.2901119107725938
ADGRV1,0.10839047619047622,0.6991393951411515,0.8685016795569851
ADH1B,-0.18720227272727286,0.5049036717223299,0.7583987827048302
ADH4,-0.020257846320346273,0.9356851983007191,0.9781859208272539
ADIPOQ,-0.4364227272727274,0.06591857655879427,0.20762930957042633
ADM,0.1051385822510823,0.15728059453297236,0.3863330602781328
ADRA2A,-0.03322159090909087,0.5436305033528391,0.7785580472367062
AFAP1,0.5316750541125541,0.07107460853667802,0.22054254856975566
AFM,0.09971829004329011,0.07585189613087359,0.2326496247539806
AFP,-0.04293235930735939,0.88183160815252,0.9564360853065506
AGBL2,-0.08195925324675368,0.45733912163135615,0.7225958121775428
AGER,0.018339339826839798,0.9627382556941022,0.9912236426184786
AGR2,-0.07244675324675343,0.9830579555820083,0.9960063792603848
AGR3,0.2218410173160174,0.09342603099553683,0.2690525769605049
AGRN,0.031601731601731575,0.6525732526227053,0.8428951027026811
AGRP,0.02604588744588776,0.4075704450855334,0.6811483196026382
AGT,0.07788143939393932,0.5606696010891176,0.7890405604157393
AGXT,-0.08376363636363637,0.9255574172719444,0.9760133367396961
AHCY,0.2952690476190478,0.005695141826538342,0.025889423886425462
AHNAK,0.04820265151515157,0.58378066754384,0.8003709621156868
AHNAK2,0.06966001082251083,0.35673099453946366,0.6420718577825446
AHSA1,0.5408979437229439,0.0005207530507874613,0.002927233014330287
AHSG,0.022077218614718536,0.6928589364071485,0.8665940511303268
AHSP,0.4623628787878782,0.02721079133120973,0.1014504375779669
AIDA,-0.1186758116883117,0.5955002115928472,0.8080998693063566
AIF1,0.23596195887445887,0.08089063243161297,0.24325444300165094
AIF1L,-0.06382364718614719,0.7500833253020773,0.8952607431024793
AIFM1,0.6279923160173159,0.000537465875364035,0.002998115942154722
AK1,0.6219288961038969,0.0005207244202749367,0.002927233014330287
AK2,0.7336603896103897,1.8473114470603034e-06,1.4633309918041375e-05
AKAP12,-0.046045941558441494,0.5896270163130954,0.8046124036802885
AKR1B1,1.1700823051948048,1.2314986050377275e-08,1.338167443317947e-07
AKR1B10,-0.2333953463203463,0.29416716358058137,0.5801960992888254
AKR1C4,-0.25206331168831153,0.31414953249445055,0.6025322070087132
AKR7L,-0.1911314935064935,0.33500451362962924,0.6229123367299022
AKT1S1,0.53650183982684,0.0012292163338923378,0.006520869952753727
AKT2,2.225273484848485,1.7338877320914142e-12,6.848856541761086e-11
AKT3,0.3006856060606059,0.000996597707178858,0.005354880695006988
ALCAM,-0.04449853896103889,0.30605191565420764,0.5940170979131799
ALDH1A1,0.11259918831168858,0.47290951878759135,0.7356649938350875
ALDH2,-0.2330363636363637,0.29416716358058137,0.5801960992888254
ALDH3A1,0.08495752164502163,0.22612080897100362,0.49435387032329364
ALDH5A1,-0.2245445346320345,0.730837371204852,0.8875104428881523
ALMS1,-0.26554329004329,0.21024840639415288,0.470924208344911
ALPI,0.22929074675324665,0.4887673037871233,0.7456507458088525
ALPP,0.33362002164502136,0.32655780733082984,0.6154277697150327
AMBN,0.1139069264069264,0.42707692074844084,0.6966247713792616
AMBP,0.041669155844155925,0.7630008176552749,0.9003852442862315
AMDHD2,0.05328360389610387,0.5606679329080964,0.7890405604157393
AMFR,-0.021275054112554093,0.6192553319982443,0.8235138013789209
AMIGO1,0.13957191558441562,0.15728236118062883,0.3863330602781328
AMIGO2,0.02564042207792208,0.5324171454282487,0.770425948411494
AMN,0.18024534632034633,0.20111882778971224,0.46071782013848084
AMOT,0.044122023809523875,0.9966113466412806,0.9993464721209137
AMOTL2,-0.12913988095238094,0.6282674310545318,0.8289526413124509
AMPD3,0.22238896103896044,0.08855477636169766,0.2591047160212635
AMY1A_AMY1B_AMY1C,-0.07246617965367962,0.8021415247722942,0.919113946260061
AMY2A,-0.09158950216450207,0.46768721201268604,0.7302616029450221
AMY2B,-0.09339329004329003,0.4781637613617501,0.7391182836913778
ANG,0.11136920995670993,0.04546084044559871,0.15415549492167638
