protein,diff,p,q
A1BG,-0.11953327922077919,0.02872531007475566,0.0821566353703628
AAMDC,0.18441033549783548,0.01603653560491927,0.05326681087861252
AARSD1,0.3830961038961034,0.021102054488974606,0.06568829102371967
ABCA2,-0.05095270562770563,0.3839467695675344,0.5241832823194316
ABHD14B,0.6925391774891774,2.4556151056996996e-08,2.871105181584089e-07
ABL1,0.5611981601731602,3.3803078137632414e-12,1.1762666356702327e-10
ABO,-0.4493470779220779,0.26400426153022505,0.4055094358659211
ABRAXAS2,0.1393411255411256,0.27133712314825253,0.41222370632138366
ACAA1,0.09563306277056272,0.17957114418529974,0.3109516910270327
ACADM,-0.2739325757575759,0.09342742580051744,0.19258699972842908
ACADSB,0.2956219696969695,0.00038441657322926484,0.002437417881885339
ACAN,-0.04494053030303029,0.5606696010891176,0.6774854253755646
ACE,-0.10311769480519484,0.17547742499641084,0.30603849240125824
ACE2,0.09361006493506474,0.9864459400865643,0.9949400320939144
ACHE,-0.008139177489177418,0.7180993768482874,0.8039082644686113
ACOT13,1.738481493506493,6.78688335141288e-10,1.0552159593712685e-08
ACOX1,0.2750220238095238,0.003929659814697127,0.017975580028731928
ACP1,0.1553882034632036,0.09015571005400386,0.18796372360046595
ACP5,-0.12827099567099565,0.11123929726198636,0.21705772089238062
ACP6,-0.03851742424242427,0.88183160815252,0.9235382479043904
ACRBP,0.08728219696969697,0.1093440526957,0.2139337863463864
ACRV1,-0.20786883116883126,0.2902752795613569,0.43267447330843767
ACSL1,-0.25769090909090914,0.007179771574965688,0.029351709529545043
ACTA2,-0.07542613636363638,0.6013999509832053,0.71140916905055
ACTN2,0.13291780303030304,0.33500451362962924,0.47766741138507623
ACTN4,-0.14290633116883122,0.06107481628675527,0.14281735040494853
ACVRL1,-0.06699404761904762,0.2902752795613569,0.43267447330843767
ACY1,0.045361363636363894,0.9695093232073471,0.9819390612847784
ACY3,-0.36234350649350644,0.08855477636169766,0.18595230697215678
ACYP1,0.7306818722943724,6.582024034170415e-07,6.246511770090949e-06
ADA,0.07465346320346325,0.33287769697061853,0.4771954429843639
ADA2,-0.24278549783549763,0.03265731947791567,0.09073892094481702
ADAM12,0.006431168831168788,0.6803652140431975,0.7738161558942671
ADAM15,-0.1814161255411255,0.004202727094031987,0.01901636423507043
ADAM22,-0.16053333333333325,0.07797981416037646,0.16921677564274715
ADAM23,-0.11231206709956712,0.07942438149872902,0.17146046316158414
ADAM8,-0.15792029220779225,0.002530589164577097,0.012579782530712338
ADAM9,-0.13455909090909088,0.0646788973747446,0.14851250355567827
ADAMTS1,0.042215692640692595,0.4994962818960309,0.6250118287594598
ADAMTS13,-0.1499452922077922,0.01530538387109289,0.05160050410058191
ADAMTS15,0.03894588744588745,0.8285200418107319,0.8880689703750528
ADAMTS16,-0.012335876623376638,0.6132778265119712,0.7207925560492529
ADAMTS4,0.17454345238095242,0.054364844116844196,0.13165570783225813
ADAMTS8,-0.2530280844155844,0.026916428590350722,0.0784432898779647
ADAMTSL2,-0.006608387445887445,0.7630017961330808,0.8390723288551525
ADAMTSL4,-0.14681628787878795,0.0058451863821378965,0.024689999703741434
ADAMTSL5,-0.15164745670995677,0.07942438149872902,0.17146046316158414
ADCYAP1R1,-0.11954269480519508,0.14055435723976775,0.2580655692285434
ADD1,0.5614121212121215,0.011504128734735776,0.04182408991496601
ADGRB3,-0.31014604978354987,0.001124002522880706,0.006164088882514641
ADGRD1,0.14584707792207813,0.14285662937606336,0.26179932769042835
ADGRE1,-0.4255626623376624,0.07797981416037646,0.16921677564274715
ADGRE2,-0.124441829004329,0.07942438149872902,0.17146046316158414
ADGRE5,-0.13736033549783555,0.05763869896398758,0.1379835520653036
ADGRF5,-0.06065129870129869,0.31414953249445055,0.457300340379123
ADGRG1,0.31844908008658007,0.04278040579409032,0.110173679415089
ADGRG2,-0.18630124458874464,0.0005045256172838482,0.003131058130192544
ADGRV1,-0.0060951298701297785,0.2676534317761413,0.4093935013509477
ADH1B,-0.30168787878787906,0.24974945744475918,0.38893103622676406
ADH4,-0.1347434523809523,0.6013999509832053,0.71140916905055
ADIPOQ,-0.5509083333333336,0.01679821758188357,0.05504617712090322
ADM,-0.009347023809523847,0.8285200418107319,0.8880689703750528
ADRA2A,-0.14770719696969692,0.7694861237542385,0.8442972746747895
AFAP1,0.41718944805194813,0.32655780733082984,0.47090699103503486
AFM,-0.014767316017316016,0.989834284409546,0.9949400320939144
AFP,-0.1574179653679654,0.46768721201268604,0.5982712125658999
AGBL2,-0.19644485930735922,0.19228561821459866,0.3245097355896489
AGER,-0.09614626623376624,0.27133712314825253,0.41222370632138366
AGR2,-0.1869323593073594,0.47290951878759135,0.603630796251585
AGR3,0.10735541125541131,0.2532632288256408,0.39293440438288113
AGRN,-0.08288387445887449,0.4941162142860759,0.6214723297582615
AGRP,-0.08843971861471833,0.5955002115928472,0.7075801294658098
AGT,-0.03660416666666669,0.036277751625071526,0.09782275645764213
AGXT,-0.19824924242424252,0.37932461003532403,0.5203030666979127
AHCY,0.18078344155844173,0.05124761400863193,0.12641078122129212
AHNAK,-0.06628295454545452,0.30605191565420764,0.4486407971199844
AHNAK2,-0.044825595238095234,0.69286017704125,0.7828489746778406
AHSA1,0.4264123376623378,0.013285020480595256,0.046449898163612356
AHSG,-0.09240838744588747,0.33927812636526067,0.48211763334010477
AHSP,0.34787727272727365,0.1210990688896973,0.23090187760246916
AIDA,-0.23316141774891772,0.14055435723976775,0.2580655692285434
AIF1,0.12147635281385277,0.2980938811170427,0.43984271302630784
AIF1L,-0.17830925324675334,0.07797854793181712,0.16921677564274715
AIFM1,0.5135067099567099,0.0030743861676779294,0.01463588072984135
AK1,0.5074432900432897,0.0030743861676779294,0.01463588072984135
AK2,0.6191747835497836,8.721094631240552e-06,7.221461645075392e-05
AKAP12,-0.16053154761904762,0.0215811808036836,0.06682393166225335
AKR1B1,1.0555966991341994,4.388471356160572e-08,4.822369087991485e-07
AKR1B10,-0.3478809523809525,0.04732533574955857,0.1189440725674632
AKR1C4,-0.36654891774891774,0.11123929726198636,0.21705772089238062
AKR7L,-0.30561709956709965,0.13381694799481575,0.24914125855227987
AKT1S1,0.422016233766234,0.008565396605752614,0.033787657595971514
AKT2,2.1107878787878787,1.276443243515216e-12,5.6530963648408734e-11
AKT3,0.18620000000000006,0.04974501873814421,0.12385407987359073
ALCAM,-0.15898414502164504,0.0003782605338023233,0.002403737304840094
ALDH1A1,-0.0018864177489179568,0.9830579555820083,0.992223205858498
ALDH2,-0.34752196969696975,0.016413495525295262,0.0540277561040969
ALDH3A1,-0.02952808441558441,0.7054392605839808,0.7921624889308396
ALDH5A1,-0.3390301406926406,0.15235594365292643,0.27422193552801966
ALMS1,-0.3800288961038961,0.031971619799143834,0.08942875088315544
