variable,high_risk_mean,low_risk_mean,p
METS,0.6666666666666666,0.42857142857142855,0.03124171598652272
BMI,24.815151515151516,24.4875,0.6282118505456794
Tgl,2.8509090958787873,2.069642860982143,0.05818391876353048
Hdl,1.1315151489090909,1.214464282857143,0.5750100596932323
Ldl,3.1666666632424243,2.937321424464286,0.3223600279608062
CD4,733.5757575757576,740.6428571428571,0.8918782767341102
CD8,1035.3636363636363,816.4464285714286,0.05540313192601582
AGE,54.515151515151516,53.660714285714285,0.8416051375712351
VAT,132.9375,99.48888888888887,0.03347191550674295
SAT,129.578125,128.77777777777777,0.9323599911863113
