Term,Gene_set,Adjusted P-value,Combined Score,Overlap
Vesicle-Mediated Transport (GO:0016192),GO_Biological_Process_2023,1.4047382465522636e-09,120.80515341887774,41/411
Hemostasis R-HSA-109582,Reactome_2022,2.076427494124428e-09,92.5862211331365,48/576
Immune System R-HSA-168256,Reactome_2022,2.076427494124428e-09,62.909454446383656,105/1943
Signal Transduction R-HSA-162582,Reactome_2022,2.944795879255162e-09,54.87559013576879,122/2465
Positive Regulation Of Intracellular Signal Transduction (GO:1902533),GO_Biological_Process_2023,9.99295857193202e-09,92.83862488086903,45/525
Lipid and atherosclerosis,KEGG_2021_Human,4.3741169644378434e-08,117.1234967922595,26/215
Membrane Trafficking R-HSA-199991,Reactome_2022,4.6697012461825466e-08,72.06715356228575,46/599
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome_2022,6.032098592512249e-08,103.08929376739664,28/254
Vesicle-mediated Transport R-HSA-5653656,Reactome_2022,7.39185404041707e-08,66.36838549245364,47/637
Regulation Of Apoptotic Process (GO:0042981),GO_Biological_Process_2023,1.3048687965267444e-07,68.4821925875194,51/705
Regulation Of Protein Kinase B Signaling (GO:0051896),GO_Biological_Process_2023,4.605861325980584e-07,136.40972741500968,20/136
Pathogenic Escherichia coli infection,KEGG_2021_Human,5.014157065856351e-07,96.43356885105256,23/197
Negative Regulation Of Apoptotic Process (GO:0043066),GO_Biological_Process_2023,5.658481625609728e-07,69.64500284820244,39/482
Innate Immune System R-HSA-168249,Reactome_2022,1.0580255168069809e-06,45.77092543049369,61/1035
Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,1.25025511238817e-06,50.99456993487194,47/702
