drug,n_targets,targets,approved,mean_score,ART_flag
imatinib,8,ABL1;CCL5;CD40LG;IRAK1;LYN;PDGFB;SHC1;YES1,True,0.3583623839561266,
sorafenib,8,ABL1;IRAK1;LYN;MAP2K6;MAPK9;PTPN6;VEGFC;YES1,True,0.0539360635637303,
linifanib,8,IRAK1;IRAK4;LYN;MAPK9;PRKG1;SRC;TEK;YES1,False,0.027068009763226,
nvp-tae684,8,ABL1;IRAK1;IRAK4;LYN;MAPK9;PRKG1;SRC;YES1,False,0.0136785988432769,
cenisertib,7,ABL1;IRAK1;IRAK4;LYN;MAPK9;PRKG1;SRC,False,0.0463015512703673,
cyc-116,7,ABL1;IRAK1;IRAK4;LYN;MAPK9;SRC;YES1,False,0.010603054414399,
gw441756x,6,IRAK1;IRAK4;LYN;MAPK9;SRC;YES1,False,0.0171163970345719,
tamatinib,6,IRAK1;IRAK4;LYN;MAPK9;SRC;YES1,False,0.0159581060226737,
ilorasertib,6,ABL1;IRAK1;IRAK4;LYN;SRC;YES1,False,0.0121986794331667,
pf-562271,6,IRAK1;IRAK4;LYN;MAPK9;SRC;YES1,False,0.0106977481466074,
dasatinib anhydrous,5,ABL1;IRAK4;LYN;SRC;YES1,True,0.1075365247065118,
cp-547632,5,ABL1;LYN;MAPK9;SRC;YES1,False,0.0178619928386196,
gefitinib,5,IRAK1;IRAK4;LYN;MAPK9;YES1,True,0.0173302066594748,
rg-1530,5,IRAK1;IRAK4;LYN;MAPK9;SRC,False,0.0149462508152484,
tozasertib,5,ABL1;IRAK4;LYN;SRC;YES1,False,0.0110645830390079,
dovitinib,5,ABL1;IRAK1;LYN;SRC;YES1,False,0.0100772529144227,
gw559768x,4,LYN;SRC;TEK;YES1,False,0.4106471288183846,
sunitinib,4,PDGFA;PDGFB;VEGFC;YES1,True,0.2787702498299132,
masitinib,4,ABL1;LYN;SRC;YES1,False,0.0772504027825242,
ecf506,4,ABL1;LYN;SRC;YES1,False,0.0637326081580181,
xl-228,4,ABL1;LYN;SRC;YES1,False,0.0531105067983484,
sb220025,4,IRAK1;LYN;MAPK9;YES1,False,0.0375453351627962,
alsterpaullone,4,ABL1;IRAK1;LYN;SRC,False,0.0216832154156807,
vandetanib,4,ABL1;SRC;TEK;YES1,True,0.0187439210218676,
cediranib,4,ABL1;LYN;SRC;YES1,False,0.0130066547261261,
