drug,n_targets,targets,approved,mean_score,ART_flag
imatinib,7,CCL5;CD40LG;IRAK1;LYN;SHC1;SMAD3;YES1,True,0.2922594786924493,
dasatinib anhydrous,7,CRKL;IRAK4;LYN;MAP2K1;SMAD3;STAT5B;YES1,True,0.1575847835066458,
sorafenib,7,IRAK1;LYN;MAP2K1;MAP2K6;MAPK9;PTPN6;YES1,True,0.0534016777062031,
gefitinib,6,CRKL;IRAK1;IRAK4;LYN;MAPK9;YES1,True,0.1422968859681196,
nvp-tae684,6,IRAK1;IRAK4;LYN;MAP2K1;MAPK9;YES1,False,0.0107065632859075,
cenisertib,5,IRAK1;IRAK4;LYN;MAP2K1;MAPK9,False,0.0452373577378282,
gw441756x,5,IRAK1;IRAK4;LYN;MAPK9;YES1,False,0.0183966809154424,
tamatinib,5,IRAK1;IRAK4;LYN;MAPK9;YES1,False,0.0174300394593955,
linifanib,5,IRAK1;IRAK4;LYN;MAPK9;YES1,False,0.0170826322786251,
rg-1530,5,IRAK1;IRAK4;LYN;MAP2K1;MAPK9,False,0.0148096491110806,
cyc-116,5,IRAK1;IRAK4;LYN;MAPK9;YES1,False,0.0123276727783892,
ilorasertib,5,IRAK1;IRAK4;LYN;MAP2K1;YES1,False,0.0122016698290376,
pf-562271,5,IRAK1;IRAK4;LYN;MAPK9;YES1,False,0.0114979255721515,
tetradecanoylphorbol acetate,4,ICAM3;IL1B;ITGAX;VCAM1,False,0.2877342916257753,
sb220025,4,IRAK1;LYN;MAPK9;YES1,False,0.0375453351627962,
tozasertib,4,IRAK4;LYN;MAP2K1;YES1,False,0.0117492365248812,
dovitinib,4,IRAK1;LYN;MAP2K1;YES1,False,0.0109954182400448,
tofacitinib,3,PTPN6;STAT5B;YES1,True,1.29073026022886,
ribavirin,3,IFIT1;IL21R;MMP1,True,0.8300979333280908,
fluticasone,3,CCL5;IL1B;TNFRSF8,True,0.7586857799174797,
atezolizumab,3,CX3CL1;IL7;SMAD3,True,0.5941396834848849,
sirolimus,3,EIF4E;IL7;MMP1,True,0.4356542345126149,CYP3A4 substrate - raised by boosters
cyclosporine,3,CDKN1A;ICAM3;VCAM1,True,0.1525862860780636,CYP3A4 substrate - raised by boosters
sb203580,3,MAPK9;MAPKAPK2;YES1,False,0.1279201157504836,
staurosporine,3,CASP3;MAP2K1;MAP2K6,False,0.1238455035616521,
