sample,mapping_rate
SRR24906078,90.7392
SRR24906079,89.9464
SRR24906080,91.0239
SRR24906081,89.4944
SRR24906082,86.7161
SRR24906083,86.9882
SRR24906084,91.297
SRR24906085,88.3553
SRR24906086,90.0321
SRR24906087,86.7018
SRR24906088,90.5194
SRR24906089,92.2403
SRR24906090,85.9433
SRR24906091,88.593
SRR24906092,89.7035
SRR24906093,92.8517
SRR24906094,90.9372
SRR24906095,89.5205
SRR24906096,88.8446
SRR24906097,91.0253
SRR24906098,87.9821
SRR24906099,89.967
SRR24906100,89.6082
SRR24906101,89.3996
SRR24906102,89.0833
SRR24906103,88.9439
SRR24906104,89.5416
SRR24906105,90.3671
SRR24906106,89.4564
SRR24906107,88.3241
SRR24906108,89.4791
SRR24906109,90.7315
SRR24906110,89.6117
SRR24906111,90.6085
SRR24906112,87.9425
SRR24906113,87.0508
SRR24906114,89.8234
SRR24906115,87.067
SRR24906116,87.7024
SRR24906117,89.2088
SRR24906118,91.3994
SRR24906119,86.4997
SRR24906120,88.6567
SRR24906121,86.6516
SRR24906122,86.5983
SRR24906123,91.5758
SRR24906124,89.6737
SRR24906125,93.3785
SRR24906126,90.2338
SRR24906127,91.3163
SRR24906128,89.3782
SRR24906129,88.9329
SRR24906130,88.4013
SRR24906131,89.8597
SRR24906132,90.2674
SRR24906133,89.2789
SRR24906134,88.713
SRR24906135,89.2218
SRR24906136,89.9627
SRR24906137,86.5904
SRR24906138,91.4379
SRR24906139,90.437
SRR24906140,89.338
SRR24906141,88.9977
SRR24906142,89.4564
SRR24906143,87.0478
SRR24906144,89.8819
SRR24906145,89.8726
SRR24906146,91.8762
SRR24906147,88.9835
SRR24906148,90.7557
SRR24906149,89.6489
SRR24906150,88.4513
SRR24906151,89.4862
SRR24906152,87.1193
SRR24906153,88.2286
SRR24906154,91.0476
SRR24906155,91.8657
SRR24906156,89.5841
SRR24906157,87.8895
SRR24906158,89.5786
SRR24906159,90.9292
SRR24906160,92.3246
SRR24906161,90.226
SRR24906162,87.8887
SRR24906163,89.0051
SRR24906164,87.9514
SRR24906165,89.6843
SRR24906166,89.0554
SRR24906167,91.7356
SRR24906168,91.4991
SRR24906169,86.7848
SRR24906170,89.3564
SRR24906171,88.0615
SRR24906172,87.7445
