feature,layer,diff_high_minus_low,p,q
YARS1,proteomics,3.4534505952380936,7.016223497466644e-14,2.2174604590534428e-11
GCC1,proteomics,1.7169434523809524,7.984307439931356e-14,2.2174604590534428e-11
MTDH,proteomics,2.1782389610389608,7.982378300933561e-14,2.2174604590534428e-11
SKAP2,proteomics,2.118696482683984,1.3351795017351673e-13,2.2174604590534428e-11
DBNL,proteomics,1.6268358766233764,1.5172497153974982e-13,2.2174604590534428e-11
SNAP23,proteomics,1.845770941558441,5.77658873748661e-14,2.2174604590534428e-11
PTPN6,proteomics,2.2166977272727277,1.2523759724869048e-13,2.2174604590534428e-11
DNAJB6,proteomics,1.346462608225108,1.5172497153974982e-13,2.2174604590534428e-11
PLA2G4A,proteomics,1.2149056818181816,9.083386320255616e-14,2.2174604590534428e-11
CRKL,proteomics,1.3438689393939394,1.1746242951127898e-13,2.2174604590534428e-11
PMVK,proteomics,3.139734686147187,6.57643081103424e-14,2.2174604590534428e-11
LAT,proteomics,2.3134488636363644,4.171909466880932e-14,2.2174604590534428e-11
HCLS1,proteomics,1.351224404761905,7.984307439931356e-14,2.2174604590534428e-11
CASP3,proteomics,1.6211407467532464,7.984307439931356e-14,2.2174604590534428e-11
IRAK4,proteomics,1.386309090909091,1.1746242951127898e-13,2.2174604590534428e-11
SNAP29,proteomics,1.835126515151516,1.1016215229216854e-13,2.2174604590534428e-11
RAB27B,proteomics,2.218412932900433,1.5172497153974982e-13,2.2174604590534428e-11
CLIP2,proteomics,2.2613240259740257,1.469219016705208e-13,2.2174604590534428e-11
FYB1,proteomics,2.070245995670996,5.4133461732438456e-14,2.2174604590534428e-11
MPIG6B,proteomics,1.911025811688312,1.423356760629281e-13,2.2174604590534428e-11
PPP1R12A,proteomics,1.791005519480519,1.6172216472260785e-13,2.2510185118294416e-11
EBAG9,proteomics,1.2615480519480515,1.9575916803770719e-13,2.600927491700991e-11
DAPP1,proteomics,3.1214833874458883,2.22264327354745e-13,2.7069942869079985e-11
DAB2,proteomics,1.9832507575757576,2.22264327354745e-13,2.7069942869079985e-11
CDC26,proteomics,1.2708672619047623,2.687572493880904e-13,2.708887724004787e-11
MESD,proteomics,1.596762445887446,2.5228660168836644e-13,2.708887724004787e-11
BCL2L1,proteomics,1.6454637987012988,2.368085506861417e-13,2.708887724004787e-11
EGF,proteomics,1.4658028679653687,2.687572493880904e-13,2.708887724004787e-11
PLCB2,proteomics,1.8087428030303032,2.687572493880904e-13,2.708887724004787e-11
DNAJA2,proteomics,1.528428463203463,2.862828838106907e-13,2.789349564595496e-11
GRAP2,proteomics,2.4422204004329005,3.0492973411713224e-13,2.875192299433476e-11
IST1,proteomics,2.007022564935065,3.247680995697094e-13,2.966553609507065e-11
ERP29,proteomics,1.6926240800865804,3.683224049885328e-13,2.990573304948559e-11
PPP1R9B,proteomics,1.7931796536796538,3.458725940618997e-13,2.990573304948559e-11
NEXN,proteomics,1.5694678030303029,3.683224049885328e-13,2.990573304948559e-11
SRC,proteomics,1.949926623376623,3.683224049885328e-13,2.990573304948559e-11
MGLL,proteomics,1.8576615800865803,3.9220156727569443e-13,3.0168557398601436e-11
NCK2,proteomics,1.6119440476190476,3.9220156727569443e-13,3.0168557398601436e-11
PRKG1,proteomics,2.5445764069264065,4.1759925343537275e-13,3.1298528661322926e-11
CD69,proteomics,1.230029816017316,4.73334435204177e-13,3.2941822716709747e-11
GIPC3,proteomics,1.928761958874459,4.73334435204177e-13,3.2941822716709747e-11
STAT5B,proteomics,1.6363083333333337,4.73334435204177e-13,3.2941822716709747e-11
CCL5,proteomics,2.4310119588744588,5.038788172192022e-13,3.3473585971175635e-11
RAB11FIP3,proteomics,1.525127218614719,5.038788172192022e-13,3.3473585971175635e-11
MANF,proteomics,2.5987161796536795,5.363562035317752e-13,3.483931517607509e-11
JPT2,proteomics,1.3471454545454544,6.07596614055181e-13,3.8608802236593336e-11
TBCB,proteomics,1.577426515151515,6.881042191201164e-13,3.9437816323296086e-11
YTHDF3,proteomics,1.5655365800865804,6.881042191201164e-13,3.9437816323296086e-11
USP8,proteomics,1.105171158008658,6.877965308485802e-13,3.9437816323296086e-11
FXN,proteomics,1.2926203463203465,6.46621554716418e-13,3.9437816323296086e-11
ITGB1BP2,proteomics,2.386399512987013,6.881042191201164e-13,3.9437816323296086e-11
VASH1,proteomics,1.3543285714285718,7.321962091508454e-13,4.038131168580983e-11
CIRBP,proteomics,2.001435606060606,7.321962091508454e-13,4.038131168580983e-11
TWF2,proteomics,1.2912219155844156,8.815892935394194e-13,4.772010194473561e-11
KIFBP,proteomics,2.125121482683982,9.380211720491282e-13,4.9851561561810937e-11
CRYBB1,proteomics,0.7669104978354977,9.977735199621089e-13,5.028434480774558e-11
PDLIM7,proteomics,1.8426303030303035,9.977735199621089e-13,5.028434480774558e-11
PDGFB,proteomics,2.3282135281385274,9.977735199621089e-13,5.028434480774558e-11
TMED8,proteomics,1.3241592532467528,1.0612568979124065e-12,5.0853342829474805e-11
CACYBP,proteomics,1.7568593073593073,1.0612568979124065e-12,5.0853342829474805e-11
CDKN1A,proteomics,1.7929889069264071,1.0288082534089817e-12,5.0853342829474805e-11
RILPL2,proteomics,1.5938392857142858,1.2003428014780242e-12,5.569209537651214e-11
ANXA11,proteomics,2.1937781926406923,1.2003428014780242e-12,5.569209537651214e-11
OTUD6B,proteomics,0.8424152597402599,1.276443243515216e-12,5.6530963648408734e-11
